회사명,직무,링크,자격요건,우대사항
데이터라이즈,Backend Engineer,https://www.wanted.co.kr/wd/81841,"• 3년 이상의 실무 경험 또는 그에 준하는 이해도가 있으신 분 
• 1개 이상의 프로그래밍 언어에 능숙하신 분
• 코드 리뷰 및 의견 공유에 있어 적극적인 분
• 내가 만든 제품을 고객이 직접 사용하는 순간! 그때의 긴장감과 뿌듯함을 즐기시는 분","• 좋은 코드와 설계를 위한 고민 그리고 테스트의 중요성을 인지하고 계신 분
• 새로운 것을 배움에 주저함이 없고 주변 동료들과 나누고 싶어 하시는 분
• 팀 플레이어로서 동료들과 함께 협력하여 문제를 해결해 나가시는 분
• 작은 규모의 회사에서 좋은 업무 문화를 함께 만들어 나가고 싶은 분"
데이터라이즈,Data Engineer,https://www.wanted.co.kr/wd/81834,"• 데이터 수집, 전처리 중 1개 이상 구축 경험이 있는 1년 이상의 경력자 또는 그에 준하는 실력을 갖춘 분
• 대규모 데이터 파이프라인 포함 서비스 개발 경험 3년 이상 또는 그에 준하는 실력을 갖춘 분
• 1개 이상의 프로그래밍 언어에 능숙하신 분
• 배치 및 실시간 데이터 처리 아키텍처에 대한 이해도가 높고, 서비스에 적용한 경험이 있는 분","• 좋은 코드와 설계를 위한 고민 그리고 테스트의 중요성을 인지하고 계신 분
• 코드 리뷰 및 의견 공유에 있어 적극적인 분
• 내가 만든 작품을 고객이 직접 사용하는 순간! 그때의 긴장감과 뿌듯함을 즐기시는 분
• 작은 규모의 회사에서 좋은 업무 문화를 함께 만들어 나가고 싶은 분
• 새로운 것을 배움에 주저함이 없고 주변 동료들과 나누고 싶어 하시는 분
• 팀 플레이어로서 동료들과 함께 협력하여 문제를 해결해 나가시는 분"
데이터비,AI Engineer (ML/DL),https://www.wanted.co.kr/wd/64852,"- Python을 이용한 개발 경험 (pytorch, tensorflow, scikit-learn 등)
- 문제에 대한 고민과 토론을 즐기시는 분
- 자연어 처리에 대한 관심과 이해가 있으신 분
- 기본적인 데이터 전처리에 대한 이해와 경험이 있으신 분
- 대용량의 데이터에 대한 최적화를 고민해보신 분","- 데이터와 소프트웨어 기술이 사람간의 의사소통을 더 원활하게 도울 수 있다고 믿는 분
- 미래의 성장과 성공을 위한 계산된 위험을 두려워하지 않는 분
- 자연어 처리 기술 개발과 활용에 대한 관심 및 경험이 많은 분
- 새로운 것을 배우고 성장하고자 하는 욕구가 강한 분
- 말보다는 결과물을 통해 동료의 신뢰를 쌓으실 분
- 상사와 동료의 의견이 본인의 의견과 다를 경우 근거를 가지고 자신의 주장을 이야기할 수 있는 분
- 영어 의사 소통 능력 향상에 관심이 있는 분"
윙잇,[윙잇] 데이터 분석가,https://www.wanted.co.kr/wd/133324,"■[이런 분과 함께하고 싶어요]
• 데이터 분석 관련 경력 3년 이상 보유하신 분
• SQL, Python 구현 능력을 보유하신 분
• BI 시각화 도구 사용 경험 있으신 분
• B2C 커머스 관련 데이터를 다뤄보신 분","■[이런 분이면 더욱 좋아요]
• 프로그래밍 언어 구현 능력 있으신 분
• 컴퓨터공학 전공자 
• Slack, Notion을 기반으로 원활한 커뮤니케이션 가능하신 분"
로이드케이,빅데이터 솔루션 데이터 엔지니어,https://www.wanted.co.kr/wd/144903,"ㆍ서버 (Linux, Windows Server) 개념 이해 및 경험
ㆍDBMS (Oracle, MySQL, MongoDB, PostgreSQL 등) 기본 개념 이해 및 경험
ㆍ데이터 분석, 상관 관계 등 논리적인 개념 이해
ㆍ클라우드 환경 이해 및 경험","ㆍ컴퓨터/정보통신/보안/시스템 공학계열 전공자
ㆍ정보처리(산업)기사, 리눅스마스터, DB, 보안, 네트워크 등 IT 관련 자격증 보유자
ㆍ데이터 처리 개념을 이해하고, 관련 분야(운용, 관리 등) 근무 경험이 있는 자
ㆍJava / Spring 을 이용한 개발 경험이 있는 자
ㆍ해외 여행에 결격 사유가 없는 자"
인터마인즈,데이터 매니저(Data Manager),https://www.wanted.co.kr/wd/58835,"• 꼼꼼하고 성실하신 분
• 동료와 커뮤니케이션 원활하신 분
• 업무에 대해 책임감이 있으신 분
• 컴퓨터 사용에 거부감이 없으신 분
• 개발 관련 커리어를 쌓아가고 싶으신 분","• MS Office(Power Point, Excel 등) 활용능력이 뛰어나신 분
• 꼼꼼하고 끊임없이 배우고자 하는 성장 마인즈(Growth Mindset)를 보유하신 분
• AI 업종 관련 근무 경험이 있으신 분"
데이터온,IT기획/PM,https://www.wanted.co.kr/wd/142811,"• 아래 유관 경력 총 3년 이상 (신입 불가)
• 리테일 플랫폼 Digital Transformation 전략 수립 및 기획 경험
• IT 전략 수립 및 기획 업무 경험
• 플랫폼 구축 프로젝트 PM 경험","• 리테일 플랫폼 전략/기획해 본 경험이 있으신 분
• 기업 운영 백앤드 시스템(ERP, MRP, BOM 등) 운영/구축 경험이 있으신 분
• 리테일 시스템 아키텍처 설계 및 운영 경험이 있으신 분
• 서비스 기획 경험이 있으신 분
• AWS 클라우드 기반 시스템 구축/운영 경험이 있으신 분
• 영어 커뮤니케이션 역량을 가지신 분"
데이터온,퍼블리싱 담당자,https://www.wanted.co.kr/wd/142805,"• 웹 퍼블리싱 경력 3년이상
• 웹표준, 웹접근성, 크로스 브라우징 마크업 가능자 
• HTML/CSS/jQuery/Javascript 사용 가능자
• 모바일 웹,반응형 웹 퍼블리싱 가능한 분
• 어도비XD와 같은 디자인 핸드 오프 도구 활용이 가능하거나 경험이 있으신 분
• 디자이너, 백엔드 개발자와 협업 및 소통이 원만하신 분
• 프론트엔드 기술에 대한 이해도가 있으신 분
• 포트폴리오 제출 필수","• AUIGrid, jqGrid 사용 경험이 있으신 분"
데이터온,POS팀 C# WPF 기반 응용프로그램 개발자,https://www.wanted.co.kr/wd/142803,"• C# WPF 개발 경력 3년 이상
• Restful API, Socket 연동 개발 가능자
• SQL 쿼리 작성 가능자
• 운영∙유지보수 업무 병행 가능자
• 개발 환경 : .NET, C#, C++, MS-SQL","• POS 관련 개발 경력이 있으신 분
• 컴퓨터 관련 전공을 가지신 분
• 정보처리기사 등 전공 관련 자격증 보유하신 분"
코인원(coinone),입출금 데이터 관리 담당자,https://www.wanted.co.kr/wd/141064,"• 데이터베이스 유관업무 경력이 있으신 분
• 블록체인 입출금 시스템에 대한 지식이 있으신 분
• SQL 활용이 가능하신 분","• 가상자산을 거래한 경험이 있으신 분
• 은행, 증권사, 결제 관련 시스템사에서 일해본 경력이 있으신 분"
